Venue,Capacity,Basketballteam(s),Location,Country,Image,LatLong
PalaLottomatica,11200,Pallacanestro Virtus Roma,Rome,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/PalaLottomatica.jpg/150px-PalaLottomatica.jpg,"[38.89037, -77.03196]"
CU Events Center,11065,Colorado Buffaloes men's basketball,Boulder,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[46.55659, -87.39418]"
Bramlage Coliseum,11000,Kansas State Wildcats men's basketball,Manhattan,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.75704, -122.19388]"
Pais Arena,11000,Hapoel Jerusalem,Jerusalem,Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[48.88509, 2.30344]"
Unipol Arena,11000,Virtus Pallacanestro Bologna,Bologna,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Unipol_Arena_2014.jpg/150px-Unipol_Arena_2014.jpg,"[38.01663, 13.61195]"
McKenzie Arena,10995,Chattanooga Mocs men's and women's basketball,Chattanooga,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[36.13279, -88.51966]"
Lloyd Noble Center,10967,Oklahoma Sooners men's and women's basketball,Norman,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.4532, -85.26391]"
Spaladium Arena,10931,KK Split,Split,Croatia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[44.87304, 13.84926]"
Pabellón Príncipe Felipe,10744,CAI Zaragoza,Zaragoza,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.96752, -4.81338]"
Palacio de Deportes José María Martín Carpena,10642,Baloncesto Málaga,Málaga,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.99443, -1.11355]"
Great Southern Bank Arena,10542,Missouri State Bears men's and women's basketball,Springfield,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Msu_v_arkansas.jpg/150px-Msu_v_arkansas.jpg,"[26.15294, -80.18044]"
Stegeman Coliseum,10532,Georgia Bulldogs men's and women's basketball,Athens,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Stegeman_Coliseum.jpg/150px-Stegeman_Coliseum.jpg,"[39.35454, -122.02989]"
Hisense Arena,10500,Melbourne United,Melbourne,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[8.71694, -76.1064]"
Ankara Arena,10400,"Hacettepe Üniversitesi B.K., Türk Telekom B.K. and TED Ankara Kolejliler",Ankara,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.92121, 32.85393]"
Wintrust Arena,10387,DePaul Blue Demons men's and women's basketball,Chicago,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.68283, -97.3323]"
Menora Mivtachim Arena,10383,"Maccabi Tel Aviv, Israel national basketball team",Tel Aviv,Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[32.06138, 34.79194]"
Vitrifrigo Arena,10323,Victoria Libertas Pesaro,Pesaro,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Pesaro_-_BPA_Palas_01.jpg/150px-Pesaro_-_BPA_Palas_01.jpg,"[38.56105, 16.21264]"
Stan Sheriff Center,10300,Hawaii Rainbow Warriors basketball,Honolulu,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[31.79616, -94.1797]"
Galen Center,10258,USC Trojans men's and women's basketball,Los Angeles,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[46.39892, -112.72178]"
Cintas Center,10224,Xavier Musketeers men's and women's basketball,Cincinnati,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.67266, -87.92578]"
CEFCU Arena,10200,Illinois State Redbirds men's and women's basketball,Normal,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
O'Connell Center,10133,"Florida Gators men's and women's basketball, and women's gymnastics",Gainesville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/High_Resolution_Stadium_Pic.jpg/150px-High_Resolution_Stadium_Pic.jpg,"[46.66146, -118.86063]"
Montagne Center,10080,Lamar Cardinals basketball,Beaumont,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.5356, -72.52779]"
Cassell Coliseum,10052,Virginia Tech Hokies men's and women's basketball,Blacksburg,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.75704, -122.19388]"
Mitchell Center,10038,South Alabama Jaguars men's basketball,Mobile,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.71379, -90.14133]"
First National Bank Arena,10038,Arkansas State Red Wolves men's basketball,Jonesboro,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[26.78322, -80.089]"
Bilbao Arena,10014,Bilbao Basket,Bilbao,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Bilbao_Arena_Goitik.jpg/150px-Bilbao_Arena_Goitik.jpg,"[43.25973, -2.92345]"
Hec Edmundson Pavilion,10000,University of Washington Huskies men's and women's basketball,Seattle,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[37.32277, -86.22977]"
BTarena,10000,U-BT Cluj-Napoca,Cluj-Napoca,Romania,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[-6.19987, 106.61481]"
EagleBank Arena,10000,George Mason Patriots men's and women's basketball,Fairfax,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Patriot_Center_2011.jpg/150px-Patriot_Center_2011.jpg,"[43.16162, -89.91256]"
PhilSports Arena,10000,PBA Teams,Pasig,Philippines,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[51.28108, 3.76107]"
